@relation whatever

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute class { abnormal , normal } 


@data
17311.43359 , 28.01940681 , 0.988835026 , 0.988835026 , 51021985.56 , -3650.322339 , 2.840454309 , 0.000867044 , 7.497876869 , 0.447422847 , 0.376580984 , 0.003462456 , 17333.16802 , 253.5432153 , 66496.17092 , 5.53801547 , 28.01940681 , 2.145361459 , -0.455491064 , 0.993929687 , 0.989285723 , 0.999586753 , abnormal 
16583.71402 , 30.88602355 , 0.993022427 , 0.993022427 , 151847046.1 , 150104.7628 , 2.884358555 , 0.000762922 , 7.700434299 , 0.448949751 , 0.378575921 , 0.004121197 , 16586.40345 , 239.9028111 , 63634.47622 , 5.761629561 , 30.88602355 , 2.153557433 , -0.484840743 , 0.996350169 , 0.98914803 , 0.999547873 , abnormal 
18625.62181 , 203.502133 , 0.979291176 , 0.979291176 , 838469444.8 , 1082375.426 , 8.15790359 , 0.000408294 , 8.900722057 , 0.301002075 , 0.226193136 , 0.01183579 , 18751.39015 , 235.0838203 , 71878.42138 , 6.092915185 , 203.502133 , 3.120068472 , -0.354252457 , 0.989015761 , 0.970748515 , 0.997075295 , abnormal 
26311.95747 , 81.27696913 , 0.991164719 , 0.991164719 , 596401879.2 , -537001.8665 , 5.100537061 , 0.000417856 , 8.529468752 , 0.355170045 , 0.277246988 , 0.008829793 , 26373.8724 , 295.0034182 , 101765.4567 , 6.103147322 , 81.27696913 , 2.681995602 , -0.426082771 , 0.994989638 , 0.981160669 , 0.9988143 , abnormal 
20044.4906 , 79.35316294 , 0.99112997 , 0.99112997 , 504751009.9 , -635455.8316 , 4.61874453 , 0.00043209 , 8.302368936 , 0.373815764 , 0.296730022 , 0.001746178 , 20076.02739 , 249.9111358 , 77314.80426 , 5.958139552 , 79.35316294 , 2.571196625 , -0.426485124 , 0.994357996 , 0.982979745 , 0.998872696 , abnormal 
11213.21288 , 253.2939227 , 0.926804373 , 0.926804373 , 168632184 , 470244.0406 , 6.682257242 , 0.00058785 , 8.099830125 , 0.351312617 , 0.275637106 , 0.003505471 , 11385.02969 , 196.0694945 , 42921.35868 , 5.652950461 , 253.2939227 , 2.807791402 , -0.374884518 , 0.987952573 , 0.976765245 , 0.996733632 , abnormal 
9107.273289 , 101.6648835 , 0.965601007 , 0.965601007 , 72595046.93 , 98658.32296 , 5.141300646 , 0.000544454 , 8.116233209 , 0.357985701 , 0.280002361 , 0.003810081 , 9154.78857 , 175.2751428 , 34589.52911 , 5.628019477 , 101.6648835 , 2.664515403 , -0.36101797 , 0.985472852 , 0.981194075 , 0.998581153 , abnormal 
8882.879045 , 201.9872703 , 0.954166681 , 0.954166681 , 129591711.8 , 90186.55367 , 7.288117545 , 0.000570439 , 8.21755869 , 0.336785512 , 0.263248848 , 0.00834003 , 8991.029709 , 164.7006112 , 33888.04083 , 5.701151007 , 201.9872703 , 2.965094546 , -0.371331066 , 0.987915297 , 0.974056826 , 0.997144452 , abnormal 
15271.25656 , 134.6050401 , 0.962961378 , 0.962961378 , 106459540.8 , 106441.9344 , 5.778774302 , 0.000698359 , 8.07547629 , 0.36779972 , 0.294247617 , 0.008660516 , 15345.58764 , 232.5758513 , 58602.85242 , 5.695379876 , 134.6050401 , 2.755803273 , -0.393822145 , 0.990347556 , 0.97912241 , 0.998101314 , abnormal 
18323.45723 , 250.6036197 , 0.894743087 , 0.894743087 , 70285993.23 , 77408.75798 , 8.388917891 , 0.000345805 , 8.52337117 , 0.284972814 , 0.207111842 , 0.001565982 , 18450.29686 , 262.7403861 , 70634.74416 , 5.596804391 , 250.6036197 , 3.127151688 , -0.271011231 , 0.964382696 , 0.970248489 , 0.996617379 , abnormal 
25979.20774 , 134.4105722 , 0.9704947 , 0.9704947 , 245981889.7 , -204483.3408 , 5.503404924 , 0.000375507 , 8.408617383 , 0.345498759 , 0.26622458 , 0.001659355 , 26069.46133 , 308.3440909 , 100444.5431 , 5.905039491 , 134.4105722 , 2.716848388 , -0.388442287 , 0.991179959 , 0.980084436 , 0.998244877 , abnormal 
9789.511872 , 151.7075701 , 0.945930249 , 0.945930249 , 165050101.2 , 348389.5645 , 5.355331826 , 0.000662405 , 8.034535619 , 0.373315286 , 0.297721706 , 0.003102121 , 9864.900075 , 183.9856661 , 37274.7657 , 5.616004906 , 151.7075701 , 2.636769976 , -0.37192012 , 0.987027504 , 0.980885498 , 0.997948606 , abnormal 
8651.60819 , 207.3885038 , 0.93993329 , 0.93993329 , 131161518.6 , 250811.9589 , 8.257533495 , 0.00028907 , 8.699628619 , 0.29619542 , 0.221077318 , 0.001439268 , 8752.166739 , 167.6821267 , 32917.91462 , 5.751928628 , 207.3885038 , 3.130902036 , -0.286822692 , 0.972159969 , 0.970395973 , 0.997046157 , abnormal 
16227.35804 , 150.3868832 , 0.972763471 , 0.972763471 , 242248286.3 , 142582.8982 , 5.75642002 , 0.000489757 , 8.341857579 , 0.369346162 , 0.295288245 , 0.003574302 , 16305.20357 , 232.7252563 , 62357.43742 , 5.880237023 , 150.3868832 , 2.724614386 , -0.396393753 , 0.991766856 , 0.979371605 , 0.997896362 , abnormal 
15594.22421 , 32.94750981 , 0.993181767 , 0.993181767 , 248229276.3 , 602450.6554 , 2.198682499 , 0.000984929 , 7.506867589 , 0.499666022 , 0.43551942 , 0.005701656 , 15615.50307 , 229.7381784 , 59770.50034 , 5.817910113 , 32.94750981 , 1.885914811 , -0.538056398 , 0.997995092 , 0.991784244 , 0.999587949 , abnormal 
17127.36658 , 117.5175938 , 0.980500134 , 0.980500134 , 250969847.1 , -165363.3713 , 6.319284114 , 0.000299463 , 8.654356765 , 0.315929849 , 0.23681528 , 0.001496457 , 17179.19918 , 238.1022973 , 65851.70061 , 5.901046921 , 117.5175938 , 2.891566492 , -0.344656956 , 0.986166347 , 0.976850278 , 0.998315812 , abnormal 
18443.07547 , 59.61720191 , 0.991549804 , 0.991549804 , 330068170 , 194378.6755 , 4.204029064 , 0.000503622 , 8.208082784 , 0.391897954 , 0.316776625 , 0.003504681 , 18501.60414 , 244.5586404 , 70956.72883 , 5.950722747 , 59.61720191 , 2.495218497 , -0.441894143 , 0.995202507 , 0.98438276 , 0.99912048 , abnormal 
18310.83406 , 65.12390549 , 0.98996419 , 0.98996419 , 377422319.3 , -589533.8978 , 4.691046932 , 0.000389889 , 8.336708358 , 0.356646516 , 0.277162335 , 0.001875506 , 18360.13298 , 245.765652 , 70401.55725 , 5.986894023 , 65.12390549 , 2.606844004 , -0.428283329 , 0.994605035 , 0.982556745 , 0.999040814 , abnormal 
22089.21881 , 504.7395536 , 0.804707313 , 0.804707313 , 131983702.1 , -217503.8578 , 10.61082385 , 0.00049173 , 8.447184013 , 0.301757084 , 0.229342756 , 0.004855314 , 22344.56767 , 290.1662267 , 85690.80717 , 5.516212422 , 504.7395536 , 3.246710397 , -0.264374148 , 0.960391181 , 0.964287924 , 0.993402683 , abnormal 
19898.03659 , 129.8380069 , 0.978273044 , 0.978273044 , 404867142.4 , -188704.3719 , 6.295213992 , 0.000570416 , 8.673338725 , 0.326517096 , 0.248434891 , 0.016366256 , 19966.70652 , 260.576554 , 76643.60154 , 5.975380332 , 129.8380069 , 2.881700003 , -0.363004358 , 0.989140323 , 0.977053275 , 0.998183992 , abnormal 
12523.9244 , 31.68568352 , 0.993238036 , 0.993238036 , 180232196.2 , -70624.91435 , 3.045093932 , 0.001177029 , 7.813363679 , 0.46112395 , 0.39333069 , 0.023333937 , 12538.87903 , 201.9688847 , 47813.05226 , 5.813080764 , 31.68568352 , 2.230667422 , -0.480104251 , 0.996348628 , 0.988537009 , 0.999533921 , abnormal 
15119.09463 , 193.8467756 , 0.98121588 , 0.98121588 , 884412265.2 , 1110252.256 , 6.556560987 , 0.002667234 , 8.228035471 , 0.399159443 , 0.333461363 , 0.043840684 , 15233.04957 , 200.5685017 , 58315.16581 , 5.959492443 , 193.8467756 , 2.825599165 , -0.445359262 , 0.995449537 , 0.976758783 , 0.997330529 , abnormal 
16342.48774 , 80.54445547 , 0.984921983 , 0.984921983 , 214370107.5 , -439239.1122 , 4.330338649 , 0.000843221 , 7.946316592 , 0.418755385 , 0.348856659 , 0.009156795 , 16399.00107 , 234.2471226 , 62784.46719 , 5.76148561 , 80.54445547 , 2.486520908 , -0.437790385 , 0.994096985 , 0.984130634 , 0.998835751 , abnormal 
18087.50813 , 389.9132928 , 0.858914069 , 0.858914069 , 86111216.05 , -99409.54487 , 10.93459794 , 0.000287833 , 8.703777997 , 0.258095953 , 0.184028414 , 0.001504602 , 18269.58154 , 260.0040624 , 69823.55376 , 5.670188549 , 389.9132928 , 3.380814977 , -0.260781403 , 0.96195053 , 0.961970527 , 0.994699178 , abnormal 
24195.92973 , 342.3108192 , 0.941444317 , 0.941444317 , 342001884.3 , -70733.94236 , 9.28680616 , 0.000298355 , 8.841527743 , 0.305264929 , 0.232073552 , 0.005031842 , 24334.95157 , 292.8907492 , 93639.49102 , 6.013680393 , 342.3108192 , 3.173862718 , -0.34044653 , 0.986423652 , 0.967811873 , 0.995327973 , abnormal 
20661.6171 , 216.5108603 , 0.952678953 , 0.952678953 , 222440975.1 , 364287.0308 , 4.274489969 , 0.000559001 , 7.976355673 , 0.411981256 , 0.337269274 , 0.003813087 , 20828.71126 , 271.8920114 , 79701.21524 , 5.877909426 , 216.5108603 , 2.346104594 , -0.465742994 , 0.996004295 , 0.98529893 , 0.997870338 , abnormal 
7735.35972 , 62.70486798 , 0.976138348 , 0.976138348 , 60761061.56 , -93906.60272 , 3.267606844 , 0.001047156 , 7.34408714 , 0.438554392 , 0.366778253 , 0.004171477 , 7759.50157 , 160.6714083 , 29307.42382 , 5.369825897 , 62.70486798 , 2.211985788 , -0.435239958 , 0.99151694 , 0.987993015 , 0.999140044 , abnormal 
16982.50965 , 389.6492622 , 0.925059307 , 0.925059307 , 343514614 , 684438.2896 , 10.85052387 , 0.000414102 , 8.806429927 , 0.271317709 , 0.198970296 , 0.012617174 , 17153.06796 , 241.4795274 , 65520.7697 , 5.866612388 , 389.6492622 , 3.365730866 , -0.305678106 , 0.978586766 , 0.962330957 , 0.994636117 , abnormal 
21578.09677 , 188.5386351 , 0.966549348 , 0.966549348 , 305141671.3 , 261980.9744 , 6.923663231 , 0.000766929 , 8.420334062 , 0.374754492 , 0.305712491 , 0.011261561 , 21720.67925 , 274.6342239 , 83290.96229 , 5.907608977 , 188.5386351 , 2.900615126 , -0.395715993 , 0.991954649 , 0.975348504 , 0.997296882 , abnormal 
10135.30482 , 36.01999402 , 0.98974281 , 0.98974281 , 289292912.6 , 917172.5308 , 3.311526455 , 0.000817004 , 7.655939686 , 0.416632035 , 0.341761389 , 0.003064292 , 10162.82093 , 183.3748699 , 38561.83052 , 5.58022886 , 36.01999402 , 2.283779382 , -0.436734511 , 0.992997843 , 0.987552467 , 0.999471464 , abnormal 
16914.6664 , 395.4299717 , 0.879331564 , 0.879331564 , 143974688.6 , -16725.12366 , 10.61508363 , 0.000380049 , 8.553836322 , 0.276210716 , 0.202273775 , 0.002559529 , 17094.30297 , 248.7878788 , 65254.47756 , 5.691619504 , 395.4299717 , 3.320402495 , -0.293030217 , 0.972678343 , 0.963315635 , 0.994533952 , abnormal 
17574.16016 , 64.03611308 , 0.98722452 , 0.98722452 , 212958957 , 492052.1266 , 3.728847252 , 0.000627727 , 7.998301653 , 0.413180239 , 0.339470766 , 0.005006108 , 17591.19071 , 245.778205 , 67528.77575 , 5.830241884 , 64.03611308 , 2.359796577 , -0.446603802 , 0.994906538 , 0.98623289 , 0.999109991 , abnormal 
8348.749005 , 83.18079435 , 0.97315622 , 0.97315622 , 112112484 , 502165.8644 , 4.378974866 , 0.00117102 , 7.6107509 , 0.40186433 , 0.327962404 , 0.009168372 , 8382.752894 , 165.4479357 , 31720.81364 , 5.399016411 , 83.18079435 , 2.505864575 , -0.392050464 , 0.987428829 , 0.983947814 , 0.998824341 , abnormal 
11994.38813 , 53.26594351 , 0.982653276 , 0.982653276 , 86038596.85 , 14136.6008 , 3.736839276 , 0.000565593 , 7.917134037 , 0.405379639 , 0.32956761 , 0.001938595 , 12018.61073 , 204.8001635 , 45715.57969 , 5.732667025 , 53.26594351 , 2.369140486 , -0.431482009 , 0.99347804 , 0.986108519 , 0.999221741 , abnormal 
16472.08828 , 42.59547928 , 0.988027306 , 0.988027306 , 168884124.7 , 567921.6362 , 3.641011164 , 0.000721515 , 7.863065135 , 0.404891922 , 0.329177895 , 0.002926533 , 16499.11943 , 242.6161276 , 63210.49945 , 5.672808963 , 42.59547928 , 2.371145527 , -0.423846145 , 0.992619496 , 0.986359601 , 0.999368285 , abnormal 
