SRE,LRE,GLN,RLN,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,class
0.063368408,25.30651974,1897.358246,3242.093385,5.671921379,0.298924569,306.0537089,0.022596369,26.62381081,6.929438362,5776.275359,abnormal
0.10162226,15.99124941,1258.550047,1932.436074,4.709544144,0.423223749,82.9296582,0.05140828,7.397869917,6.344367404,1248.546154,abnormal
0.09374144,19.43425285,2636.922299,5206.595362,6.028204846,0.323271466,393.1239783,0.035012222,29.21706399,6.027018266,6933.884284,abnormal
0.069020486,19.04853727,2368.010397,5721.022491,5.803380911,0.318534595,650.0005506,0.024415853,36.78241921,5.710150654,15108.51634,abnormal
0.098293545,17.82255425,1279.853235,2072.527141,4.429276064,0.342405584,320.4075778,0.04128519,21.02589914,5.393862505,6711.872387,abnormal
0.138849189,19.95576937,4540.576415,4167.304926,9.524486812,0.394504285,72.26716903,0.061909041,12.77097891,7.260633016,2103.477837,abnormal
0.117681677,25.22863231,2161.759321,2810.343904,7.100394708,0.305689888,136.0162807,0.051763064,8.388712705,6.635687468,4255.964414,abnormal
0.143836863,22.36148317,1806.059889,2281.45831,5.62257552,0.343206999,199.4216799,0.064497708,24.75343164,7.002229975,4236.82369,abnormal
0.122375453,15.61069186,1160.424919,1536.711065,4.33029657,0.407441043,143.1560942,0.061525744,15.1327316,6.11363323,1866.271514,abnormal
0.134065539,13.26297428,7206.085958,14446.84753,11.6532404,0.316789058,217.8096469,0.055448638,39.13453796,3.918064214,2048.755288,abnormal
0.23611921,12.61724395,1138.087067,1114.860099,4.642132442,0.439323503,78.57462405,0.122992152,12.37451271,5.367522463,907.687285,abnormal
0.083034528,18.9656497,863.9224407,1273.488619,4.106984863,0.371117741,108.2344062,0.035198434,8.834087302,6.665293822,1942.78455,abnormal
0.068401431,21.02350269,5124.056221,7929.422082,10.28052012,0.393591177,66.42371601,0.032873656,3.631569867,7.664034843,1485.301545,abnormal
0.078314615,26.10346752,2945.137497,4430.2139,7.617560138,0.336997764,148.4985723,0.039153691,6.273753811,7.569033106,4564.925989,abnormal
0.143775821,15.07670586,4616.574441,5751.003666,7.929220287,0.408917593,345.3883039,0.071023349,35.44337352,6.012998343,4239.221805,abnormal
0.162724691,12.85027101,6741.803879,8212.157946,11.32681544,0.407391685,92.22924806,0.082388785,16.92093319,4.818061878,839.7428149,abnormal
0.127163069,20.91941548,4300.245302,3940.849508,7.451966366,0.427099493,352.6723544,0.083420194,45.63919256,7.618418386,5372.010999,abnormal
0.09241803,19.43126346,7722.384859,12524.62187,8.097613763,0.34069443,1437.30045,0.037661585,121.733639,5.86928829,24358.77661,abnormal
0.117131849,18.9105019,11942.31658,14144.79838,15.25086349,0.358382559,116.5416248,0.050204903,10.67087762,6.338721174,2483.178375,abnormal
0.091184001,21.8539831,1783.310687,2311.003577,5.320600389,0.346858324,243.9098896,0.037275012,25.64456646,6.897764033,4679.434884,abnormal
0.181023749,19.21360815,919.1436693,1310.434999,4.655545544,0.304370835,127.7359854,0.074057256,11.13481599,4.997011559,2928.915107,abnormal
0.070605764,23.60418867,8093.844574,8015.050693,12.70794162,0.49302759,98.79649779,0.043468835,5.453204878,10.62893413,2670.086697,abnormal
0.090524281,21.55966037,17443.64441,24898.9711,19.392353,0.334084381,122.5191576,0.036815291,23.47442747,6.527943329,2699.073645,abnormal
0.139727342,16.17322578,2469.015195,4471.285828,5.520879121,0.31277161,652.6195713,0.053524852,83.90257184,4.485706984,9519.930159,abnormal
0.171047166,21.56813027,1641.796521,1288.121264,5.475807893,0.421340375,105.5690452,0.070515015,37.249305,8.686864341,1249.13284,abnormal
0.107794295,19.69815937,1552.605493,2018.964307,4.448934998,0.39089955,275.1754287,0.0553344,27.34255805,6.976300535,5280.038307,abnormal
0.084989805,20.02854359,3285.246282,3603.507256,8.384487393,0.456136749,37.52068799,0.048735505,2.04036171,8.289551089,865.3212721,abnormal
0.097745919,24.63830086,4197.689074,3570.895565,8.843606859,0.441151459,63.33447214,0.059672723,4.476618831,9.58776728,1827.675467,abnormal
0.088692058,23.63564877,1211.348994,1679.338517,3.936732392,0.352917763,391.0658667,0.049410991,22.69057032,6.900014615,9098.098414,abnormal
0.227081219,11.79238329,1354.426959,2297.09674,3.851231751,0.354192857,717.076836,0.101836905,116.5502625,3.981831559,6461.398697,abnormal
0.122338906,17.4688006,3228.6901,3052.599579,7.837705347,0.460560341,44.32241212,0.072598898,2.872370236,6.810788774,1087.921482,abnormal
0.074840389,24.18009929,2310.674556,2636.271685,6.994701828,0.39762483,163.411661,0.038351691,11.68333903,8.38562368,3502.504176,abnormal
0.121457402,13.31504236,1040.893198,2860.552557,3.899800888,0.301147004,451.7556952,0.040431807,48.42850039,3.711235016,5771.621662,abnormal
0.119791056,18.14399211,2431.007736,2342.961527,6.390139508,0.473647294,66.41425985,0.073329593,3.894979658,7.384522164,1389.364755,abnormal
0.080819778,21.79325694,2155.938837,3223.147377,5.158618557,0.33700372,571.717892,0.034106147,44.08617533,6.662152595,10562.88986,abnormal
0.157347237,10.96818817,1079.322692,2261.043729,4.606847426,0.354763507,153.5172732,0.06822817,18.46396948,3.526930439,1941.558026,abnormal
0.098465879,16.46980374,2068.734224,4943.242217,5.995517713,0.296374708,349.156902,0.03647928,40.3215842,4.602262911,4574.162728,abnormal
0.072722187,19.49416663,2884.337583,5917.06048,6.732791968,0.327231142,336.7310296,0.027579747,23.45305075,5.842625228,6184.244569,abnormal
