SRE,LRE,GLN,RLN,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,mean,variance,skewness,kurtosis,energy,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,class
0.114956912,15.29308751,1511.271592,1935.726696,5.071771177,0.433786575,81.78315947,0.064180624,5.739650073,6.05704338,1393.653553,3.927009407,0.921994528,-0.031028783,3.079618048,0.294870655,12560.23534,268.4204874,0.882059758,0.882059758,51814973.45,-16841.67494,7.977086982,0.000494556,8.189556033,0.314674895,0.238815484,0.002543846,12682.32898,215.0049484,48167.41373,5.517050323,268.4204874,3.034191639,-0.314908164,0.975973184,0.972026165,0.996381952,abnormal
0.10323699,16.53148218,2524.901374,3865.264646,5.648382028,0.38669792,441.4368808,0.048361281,31.02346252,5.946150439,7400.259824,4.001869892,1.0136611,0.55165345,4.393330197,0.303550932,13056.20598,85.55143945,0.965361989,0.965361989,109761127.2,233169.0171,4.054239124,0.000822168,7.741678872,0.410911599,0.337855397,0.002984479,13098.4975,217.8481796,49918.16351,5.561539653,85.55143945,2.405338269,-0.413841253,0.991094265,0.985210802,0.998821963,abnormal
0.107320691,23.87583791,2565.534056,2914.143249,6.410730122,0.378896962,202.7763865,0.063329465,23.75132278,8.032627369,3854.168244,4.529557594,2.662223189,0.120915636,2.410787774,0.172263911,19902.06499,111.712515,0.982814391,0.982814391,378029894.2,162707.4493,4.979465957,0.000447189,8.267983445,0.373951052,0.298006241,0.00239297,19981.81869,258.5920914,76697.15947,5.912340397,111.712515,2.612889128,-0.418928433,0.993671613,0.981918047,0.998466851,abnormal
0.101569983,17.0937894,820.2037704,1556.785609,4.156047696,0.325933088,219.2022493,0.038330132,18.60164917,5.161694801,3676.68174,4.032022433,1.30701306,0.157152139,2.833792978,0.246044703,14024.16554,76.67273237,0.976041677,0.976041677,109979218.5,100800.3727,4.532452416,0.000514111,8.04547842,0.375231885,0.297370544,0.001955065,14071.47573,223.2703257,53638.04658,5.751707047,76.67273237,2.547063946,-0.412941363,0.992234444,0.98328731,0.99890491,abnormal
0.05554001,26.62225278,2727.039057,3040.986242,7.431891642,0.467035109,44.17829774,0.033165495,1.49180002,10.88136023,1543.754273,5.420814383,1.20113147,-0.37750901,3.200451295,0.259593502,27773.38795,433.62263,0.861174389,0.861174389,99608378.75,-51382.06986,11.36663319,0.000309535,8.656272378,0.26850165,0.19684217,0.004756482,28023.47707,325.138171,107864.5001,5.682141079,433.62263,3.401346482,-0.276744719,0.968020864,0.960808604,0.99405563,abnormal
0.092134883,21.84567588,4500.420641,3453.852147,9.391015856,0.510315246,40.8667925,0.0563412,5.525618872,10.10662428,956.4474893,4.510312131,2.868326364,0.108810688,2.52375349,0.182449142,19905.63677,719.2210312,0.900413879,0.900413879,493945338.3,171171.9932,14.65876231,0.000858635,8.967862032,0.262346511,0.196913607,0.025292139,20274.68633,258.0981942,77331.90271,5.898255892,719.2210312,3.623354587,-0.295193319,0.976893263,0.9510244,0.990499964,abnormal
0.107466832,17.55780047,4968.576813,5695.535567,10.19141708,0.434485233,38.63812642,0.057503358,2.955255413,6.811062367,713.9868887,4.158547855,1.340737165,-0.118528539,3.229864851,0.257220089,15001.27025,340.8454438,0.89798082,0.89798082,135631504.4,-73854.36547,10.83844033,0.000261528,8.870984712,0.254943585,0.181272934,0.001663491,15179.05052,232.3908861,57706.77698,5.749375939,340.8454438,3.388979515,-0.254948797,0.961040104,0.96193039,0.99517693,abnormal
0.116954106,19.28359988,5449.822504,4229.444478,12.0823309,0.50670581,19.34259549,0.072738662,1.448686526,8.742639453,395.9846017,4.360435223,1.658064756,-0.416821734,2.89875762,0.22263567,16891.11742,847.127473,0.795393358,0.795393358,157987724.8,-266084.3072,15.9895666,0.000207492,9.079321177,0.226078074,0.158408621,0.00347392,17327.98818,246.9412913,65576.88723,5.80794616,847.127473,3.724167749,-0.234003914,0.952649694,0.947048954,0.989116819,abnormal
0.11011867,19.06330462,4224.926652,3670.469085,9.042015141,0.480199592,55.34325884,0.065594837,9.418534903,8.105313841,675.1277737,4.161557686,2.08076065,-0.031889268,2.500163151,0.197477385,15885.91338,489.5768422,0.906714231,0.906714231,247526843.6,-59394.15844,12.31529025,0.00038388,8.887079834,0.27011711,0.201291805,0.008845676,16114.30811,232.4412002,61341.47045,5.864169655,489.5768422,3.472324503,-0.290284307,0.974715114,0.957810319,0.993227542,abnormal
0.121743431,19.22357325,5608.747609,4006.571783,11.09293667,0.501260952,20.92398778,0.072077347,2.994342441,8.723983906,377.2348554,4.226573053,2.21664128,0.242648472,2.859917218,0.192693679,16518.69714,765.8045456,0.861171388,0.861171388,299157644.8,355053.0334,15.80298044,0.000182241,9.248097238,0.224377448,0.157180343,0.004591643,16916.80006,237.8432295,64036.58702,5.969569114,765.8045456,3.72884794,-0.252430545,0.963881507,0.94712401,0.989841183,abnormal
